id,ra,nome,fase,ano,inde,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem
1,RA-1,Aluno-1,7,2022,5.783,Quartzo,5.0,4.0,4.1,8.3,5.6,,7.278,-1
2,RA-2,Aluno-2,7,2022,7.055,Ametista,10.0,6.8,5.2,8.8,6.3,,6.778,0
3,RA-3,Aluno-3,7,2022,6.591,Ágata,10.0,5.6,7.9,0.0,5.6,,7.556,0
4,RA-4,Aluno-4,7,2022,5.951,Quartzo,10.0,5.0,4.5,8.8,5.6,,5.278,0
5,RA-5,Aluno-5,7,2022,7.427,Ametista,10.0,5.2,8.6,7.9,5.6,,7.389,0
6,RA-6,Aluno-6,7,2022,5.848,Quartzo,5.0,3.3,4.5,7.9,7.5,,7.222,-1
7,RA-7,Aluno-7,7,2022,6.818,Ágata,5.0,7.6,8.4,0.0,7.5,,7.667,-1
8,RA-8,Aluno-8,7,2022,4.786,Quartzo,5.0,1.6,4.6,7.1,6.3,,6.278,-1
9,RA-9,Aluno-9,7,2022,8.109,Topázio,5.0,6.7,9.5,8.8,7.5,,9.5,-1
10,RA-10,Aluno-10,7,2022,5.784,Quartzo,5.0,4.1,5.2,8.3,5.0,,7.056,-1
11,RA-11,Aluno-11,7,2022,5.323,Quartzo,5.0,3.0,4.2,9.2,5.0,,6.389,-1
12,RA-12,Aluno-12,7,2022,4.832,Quartzo,10.0,1.5,4.0,0.0,6.9,,6.389,0
13,RA-13,Aluno-13,7,2022,6.902,Ágata,5.0,4.7,7.4,7.9,7.5,,8.056,-1
14,RA-14,Aluno-14,7,2022,6.793,Ágata,5.0,4.0,8.3,7.9,7.5,,7.75,-1
15,RA-15,Aluno-15,7,2022,7.783,Ametista,5.0,7.3,10.0,8.8,7.5,,7.292,-1
16,RA-16,Aluno-16,7,2022,6.112,Ágata,5.0,3.5,8.3,7.9,5.0,,6.333,-1
17,RA-17,Aluno-17,7,2022,8.068,Topázio,5.0,7.8,10.0,8.8,7.5,,8.292,-1
18,RA-18,Aluno-18,7,2022,7.226,Ametista,5.0,9.0,8.7,6.3,6.3,,6.875,-1
19,RA-19,Aluno-19,7,2022,7.665,Ametista,5.0,8.0,9.5,7.9,7.5,,7.0,-1
20,RA-20,Aluno-20,7,2022,7.535,Ametista,5.0,7.8,10.0,7.1,6.3,,7.167,-1
21,RA-21,Aluno-21,7,2022,6.945,Ágata,5.0,3.8,9.2,9.6,7.5,,7.25,-1
22,RA-22,Aluno-22,6,2022,7.474,Ametista,5.0,6.7,7.4,8.3,8.1,,8.833,-1
23,RA-23,Aluno-23,6,2022,7.677,Ametista,5.0,6.7,8.2,8.3,8.1,,8.556,-1
24,RA-24,Aluno-24,6,2022,8.087,Topázio,5.0,8.6,7.9,9.2,6.9,,9.111,-1
25,RA-25,Aluno-25,6,2022,7.979,Ametista,5.0,6.9,8.3,8.3,8.8,,9.667,-1
26,RA-26,Aluno-26,6,2022,8.677,Topázio,5.0,8.0,8.8,9.6,10.0,,10.0,-1
27,RA-27,Aluno-27,6,2022,7.124,Ametista,5.0,8.0,7.6,0.0,8.1,,9.111,-1
28,RA-28,Aluno-28,6,2022,6.242,Ágata,5.0,5.0,6.1,7.9,7.5,,6.333,-1
29,RA-29,Aluno-29,6,2022,4.985,Quartzo,5.0,3.7,4.0,0.0,8.8,,7.611,-1
30,RA-30,Aluno-30,6,2022,7.605,Ametista,10.0,7.5,6.4,8.8,7.5,,7.333,0
31,RA-31,Aluno-31,6,2022,8.843,Topázio,5.0,8.0,9.5,10.0,9.4,,10.0,-1
32,RA-32,Aluno-32,6,2022,7.37,Ametista,10.0,6.1,5.2,8.8,8.8,,7.944,0
33,RA-33,Aluno-33,6,2022,4.952,Quartzo,5.0,4.8,4.6,0.0,7.5,,6.0,-1
34,RA-34,Aluno-34,6,2022,6.259,Ágata,5.0,3.8,4.8,9.6,8.1,,7.278,-1
35,RA-35,Aluno-35,6,2022,8.965,Topázio,5.0,8.5,9.6,10.0,9.4,,10.0,-1
36,RA-36,Aluno-36,6,2022,7.876,Ametista,5.0,6.8,9.0,9.2,6.9,,8.944,-1
37,RA-37,Aluno-37,6,2022,4.95,Quartzo,5.0,5.9,5.4,0.0,5.0,,5.222,-1
38,RA-38,Aluno-38,6,2022,8.523,Topázio,5.0,8.6,8.9,9.2,7.5,,9.833,-1
